subject,topic,question,a,b,c,d,correct
russian_lit,19century,"Автор 'Евгения Онегина'?",Пушкин,Лермонтов,Гоголь,Тургенев,A
russian_lit,19century,"Герой романа 'Герой нашего времени'?",Печорин,Онегин,Чацкий,Базаров,A
russian_lit,19century,"Автор 'Мертвых душ'?",Гоголь,Пушкин,Лермонтов,Толстой,A
russian_lit,19century,"Автор 'Войны и мира'?",Толстой,Достоевский,Чехов,Тургенев,A
russian_lit,19century,"Роман 'Преступление и наказание' автор?",Достоевский,Толстой,Гоголь,Пушкин,A
russian_lit,20century,"Автор 'Тихого Дона'?",Шолохов,Пушкин,Лермонтов,Гоголь,A
russian_lit,20century,"Пьеса 'Вишневый сад' автор?",Чехов,Горький,Толстой,Тургенев,A
russian_lit,20century,"Автор 'Мастера и Маргариты'?",Булгаков,Пушкин,Достоевский,Гоголь,A
russian_lit,20century,"Поэма 'Василий Тёркин' автор?",Твардовский,Есенин,Маяковский,Блок,A
russian_lit,modern,"Нобелевская премия по литературе 1987 год, автор 'Детей Арбата'?",Рыбаков,Пушкин,Достоевский,Гоголь,A
