subject,topic,question,a,b,c,d,correct
biology,cells,Основная единица живого организма?,Ткань,Клетка,Орган,Система,B
biology,cells,Ядро клетки содержит?,Хлорофилл,ДНК,Рибосомы,Митохондрии,B
biology,cells,Фотосинтез происходит в?,Ядре,Хлоропластах,Митохондриях,Рибосомах,B
biology,genetics,Единица наследственности?,Ген,Клетка,Ткань,Орган,A
biology,genetics,Сколько хромосом у человека?,23,46,48,50,B
biology,genetics,ДНК - это?,Белок,Углевод,Нуклеиновая кислота,Липид,C
biology,anatomy,Самый большой орган человека?,Печень,Сердце,Кожа,Легкие,C
biology,anatomy,Сколько камер в сердце человека?,2,3,4,5,C
biology,ecology,Наука о взаимодействии организмов со средой?,Генетика,Экология,Анатомия,Физиология,B
biology,ecology,Продуценты в экосистеме - это?,Животные,Грибы,Растения,Бактерии,C
