subject,topic,question,a,b,c,d,correct
law,constitution,Высший закон РК?,Конституция,Закон,Кодекс,Указ,A
law,constitution,Конституция РК принята в?,1993,1995,1997,2000,B
law,constitution,Сколько разделов в Конституции РК?,7,8,9,10,C
law,rights,Всеобщая декларация прав человека принята в?,1945,1948,1950,1960,B
law,rights,Право на жизнь закреплено в?,1 статье,2 статье,3 статье,4 статье,A
law,rights,Международный день прав человека?,10 декабря,1 января,8 марта,9 мая,A
law,civil,Гражданский кодекс РК принят в?,1994,1995,1996,1997,A
law,civil,Субъекты гражданского права?,Физические и юридические лица,Только граждане,Только организации,Государство,A
law,criminal,Уголовный кодекс РК принят в?,1997,1998,1999,2000,A
law,criminal,Возраст уголовной ответственности в РК?,14 лет,16 лет,18 лет,21 год,B
