subject,topic,question,a,b,c,d,correct
reading_literacy,main_idea,"Основная мысль текста - это?",Главная идея,Деталь,Пример,Цитата,A
reading_literacy,main_idea,"Как найти основную мысль?",Прочитать заголовок и первый абзац,Прочитать только конец,Пропустить текст,Угадать,A
reading_literacy,main_idea,"Текст о природе - это?",Художественный,Научный,Природоведческий,Публицистический,C
reading_literacy,inference,"Вывод из текста - это?",Логический вывод,Просто цитата,Случайное мнение,Заголовок,A
reading_literacy,inference,"Если автор хвалит героя, то отношение к нему?",Положительное,Отрицательное,Нейтральное,Неизвестно,A
reading_literacy,inference,"'Он бежал быстро, как ветер' - это?",Сравнение,Описание,Повествование,Рассуждение,A
reading_literacy,vocabulary,"Значение слова 'щедрый'?",Дающий много,Жадный,Бедный,Злой,A
reading_literacy,vocabulary,"Синоним слова 'красивый'?",Прекрасный,Уродливый,Старый,Маленький,A
reading_literacy,vocabulary,"Антоним слова 'добрый'?",Злой,Хороший,Большой,Маленький,A
reading_literacy,comprehension,"Понимание прочитанного - это?",Осмысление текста,Простое чтение,Пропуск слов,Угадывание,A
