subject,topic,question,a,b,c,d,correct
physics,mechanics,Единица измерения силы?,Ватт,Ньютон,Джоуль,Ампер,B
physics,mechanics,Формула скорости?,s=t/v,v=s/t,a=v/t,F=ma,B
physics,mechanics,Ускорение свободного падения?,9.8 м/с²,10 м/с²,8.9 м/с²,9.81 м/с,C
physics,electricity,Единица измерения напряжения?,Ампер,Вольт,Ом,Ватт,B
physics,electricity,Закон Ома?,I=U/R,U=I*R,R=U/I,P=U*I,A
physics,electricity,Проводник электричества?,Резина,Дерево,Медь,Стекло,C
physics,optics,Луч света падает на зеркало. Угол падения равен?,Углу отражения,Углу преломления,90 градусам,0 градусов,A
physics,optics,Скорость света?,300000 км/с,150000 км/с,500000 км/с,100000 км/с,A
physics,thermodynamics,Единица измерения температуры?,Джоуль,Кельвин,Ватт,Калория,B
physics,thermodynamics,При нагревании тела его объем?,Уменьшается,Увеличивается,Не меняется,Исчезает,B
