subject,topic,question,a,b,c,d,correct
kazakhstan_history,ancient,Столица Казахского ханства в XV веке?,Сарайчик,Туркестан,Отрар,Сыгнак,A
kazakhstan_history,ancient,Год образования Казахского ханства?,1456,1465,1470,1500,B
kazakhstan_history,ancient,Первый хан Казахского ханства?,Керей,Жанибек,Абылай,Касым,A
kazakhstan_history,soviet,Год присоединения Казахстана к России?,1731,1820,1917,1945,A
kazakhstan_history,soviet,Казахская АССР образована в?,1920,1925,1930,1940,A
kazakhstan_history,soviet,Голод в Казахстане 1930-х годов называется?,Ашаршылык,Джут,Землетрясение,Война,A
kazakhstan_history,independence,Дата принятия Декларации о независимости?,16 декабря 1991,1 декабря 1991,25 октября 1990,24 апреля 1990,C
kazakhstan_history,independence,Первый Президент Казахстана?,Н. Назарбаев,К. Токаев,Д. Ахметов,С. Терещенко,A
kazakhstan_history,independence,Столица перенесена в Астану в?,1997,1995,2000,1990,A
kazakhstan_history,modern,Тенге введено в обращение в?,1993,1991,1995,2000,A
