subject,topic,question,a,b,c,d,correct
russian,grammar,Сколько падежей в русском языке?,5,6,7,8,B
russian,grammar,Именительный падеж - это?,Кто? Что?,Кого? Чего?,Кому? Чему?,Кем? Чем?,A
russian,grammar,Глагол - это часть речи,обозначающая действие,обозначающая предмет,обозначающая признак,обозначающая количество,A
russian,lexicon,Синоним слова "быстрый"?,медленный,скорый,тяжелый,старый,B
russian,lexicon,Антоним слова "хороший"?,плохой,большой,маленький,новый,A
russian,lexicon,Лексическое значение слова "стол"?,предмет мебели,животное,растение,явление природы,A
russian,syntax,Главные члены предложения?,подлежащее и сказуемое,дополнение и обстоятельство,определение и дополнение,подлежащее и определение,A
russian,syntax,Второстепенные члены предложения?,дополнение, обстоятельство, определение,подлежащее и сказуемое,только дополнение,только определение,A
russian,text,Сколько букв в русском алфавите?,33,32,31,30,A
russian,text,Какой падеж отвечает на вопросы "Кого? Чего?"?,родительный,дательный,винительный,творительный,A
