subject,topic,question,a,b,c,d,correct
world_history,ancient,Строители пирамид?,Греки,Египтяне,Римляне,Персы,B
world_history,ancient,Где находятся пирамиды?,Гиза,Афины,Рим,Вавилон,A
world_history,ancient,Великая Китайская стена построена в?,III в до н.э.,V в н.э.,X в н.э.,I в до н.э.,A
world_history,middle_ages,Крестовые походы начались в?,XI в,XII в,XIII в,XIV в,A
world_history,middle_ages,Столетняя война шла между?,Русью и Ордой,Англией и Францией,Римом и Карфагеном,Германией и Италией,B
world_history,middle_ages,Черная смерть - это?,Война,Эпидемия чумы,Землетрясение,Голод,B
world_history,modern,Первая мировая война шла в?,1914-1918,1939-1945,1900-1905,1850-1855,A
world_history,modern,Вторая мировая война началась в?,1939,1941,1914,1945,A
world_history,modern,Берлинская стена пала в?,1989,1991,1985,1990,A
world_history,modern,Распад СССР произошел в?,1991,1989,1993,1985,A
