subject,topic,question,a,b,c,d,correct
english,grammar,"What is the plural of 'child'?",childs,children,childes,childen,B
english,grammar,"Which is correct?",He don't like it,He doesn't like it,He not like it,He no like it,B
english,grammar,"'I ___ to school every day.",go,goes,going,went,A
english,vocabulary,"Synonym of 'big'?",small,little,large,tiny,C
english,vocabulary,"Antonym of 'hot'?",warm,cold,burning,cool,B
english,vocabulary,"What does 'book' mean?",Тетрадь,Книга,Ручка,Стол,B
english,reading,"The sun is ___ during the day.",shining,shined,shines,shine,A
english,reading,"She ___ English for 5 years.",learns,has been learning,learned,will learn,B
english,tenses,"I ___ dinner now.",cook,am cooking,cooked,will cook,B
english,tenses,"They ___ Paris next week.",visit,visited,will visit,are visiting,C
