subject,topic,question,a,b,c,d,correct
kazakh_lit,ancient,"'Күлтегін' жазуы қай ғасырда?",VII,VIII,IX,X,B
kazakh_lit,ancient,"Қорқыт ата кітабы қалай аталады?",Күлтегін,Оғызнама,Диуани лүгат-ит түрк,Қорқыт ата,B
kazakh_lit,ancient,"Алтын Орда дәуіріндегі ақын?",Қорқыт,Асан Қайғы,Сүйінбай,Абай,B
kazakh_lit,19century,"Абай Құнанбаев қашан дүниеге келді?",1840,1845,1850,1855,B
kazakh_lit,19century,"Абайдың шын аты?",Ибраһим,Құнанбай,Абай,Исатай,A
kazakh_lit,19century,"'Қара сөздер' авторы?",Абай,Шәкәрім,Ыбырай,Сұлтанмахмұт,A
kazakh_lit,20century,"Шәкәрім Құдайбердіұлы шығармасы?",Қалқаман-Мамыр,Еңлік-Кебек,Абай жолы,Қазақ ертегілері,B
kazakh_lit,20century,"Мұхтар Әуезовтың шығармасы?",Абай жолы,Қалқаман-Мамыр,Еңлік-Кебек,Қазақ ертегілері,A
kazakh_lit,20century,"Сұлтанмахмұт Торайғыров шығармасы?",Қамар сүйген,Абай жолы,Қалқаман-Мамыр,Еңлік-Кебек,A
kazakh_lit,modern,"Олжас Сүлейменов шығармасы?",Аз и Я,Қамар сүйген,Абай жолы,Қалқаман-Мамыр,A
