subject,topic,question,a,b,c,d,correct
geography,continents,Самый большой континент?,Африка,Азия,Америка,Европа,B
geography,continents,Самый маленький континент?,Европа,Австралия,Антарктида,Африка,B
geography,continents,Количество материков?,5,6,7,8,B
geography,oceans,Самый большой океан?,Атлантический,Индийский,Тихий,Северный ледовитый,C
geography,oceans,Самый глубокий океан?,Атлантический,Индийский,Тихий,Северный ледовитый,C
geography,oceans,Марианская впадина находится в?,Атлантическом,Индийском,Тихом,Северном ледовитом,C
geography,kazakhstan,Столица Казахстана?,Алматы,Астана,Шымкент,Актобе,B
geography,kazakhstan,Самая длинная река Казахстана?,Иртыш,Сырдарья,Урал,Тобол,A
geography,kazakhstan,Самая высокая гора Казахстана?,Белуха,Хан-Тенгри,Аксу,Мраморная стена,B
geography,climate,Самый влажный климат?,Пустыня,Степь,Экваториальный,Арктический,C
