subject,topic,question,a,b,c,d,correct
kazakh,grammar,"'Үй' сөзінің көпше түрі?",Үйлер,Үйлері,Үйлеріміз,Үйлерің,A
kazakh,grammar,"'Мен оқимын' сөйлемінің аудармасы?",Я читаю,Ты читаешь,Он читает,Мы читаем,A
kazakh,grammar,"Қазақ тілі - Қазақстанның... тілі?",Мемлекеттік,Ресми,Халықаралық,Ұлттық,A
kazakh,lexicon,"'Адам' сөзінің синонимі?",Кісі,Жер,Су,Ауа,A
kazakh,lexicon,"'Үлкен' сөзінінің антонимі?",Кіші,Орта,Жоғары,Төмен,A
kazakh,lexicon,"'Кітап' сөзінің мағынасы?",Книга,Тетрадь,Ручка,Стол,A
kazakh,syntax,"'Мен мектепке барамын' сөйлемінің түрі?",Хабарлы,Сұраулы,Лепті,Бұйрықты,A
kazakh,syntax,"'Не істедің?' сұрағына жауап?",Мен оқыдым,Мен оқимын,Мен оқырмын,Мен оқуға тиіс,A
kazakh,text,"Қазақстанның астанасы?",Алматы,Астана,Шымкент,Ақтөбе,B
kazakh,text,"Қазақ тілі алфавитіндегі әріптер саны?",28,30,32,34,C
